date,krw_diff,jpy_diff,usd_diff,jpy_to_krw,usd_to_krw
initial,0,0,1012.85,891.04,1300.83
2023-08-24,-4652977,510000,0,891.04,1300.83
2023-08-26,0,0,0,891.04,1300.83
2023-08-27,0,0,0,891.04,1300.83
2023-08-28,0,0,0,890.04,1304.27
2023-08-29,0,0,0,885.36,1302.8
2023-08-30,0,0,0,890.55,1298.87
2023-08-31,0,0,0,891.28,1299.85
2023-09-01,0,0,0,887.5,1297.89
2023-09-02,0,0,0,887.5,1297.89
2023-09-03,272544,0,-209.99,887.5,1297.89
2023-09-04,0,0,0,884.58,1294.94
2023-09-05,0,0,0,889.93,1311.15
2023-09-06,0,0,0,888.24,1309.19
2023-09-07,0,0,0,891.8,1313.8
2023-09-08,0,0,0,889.92,1309.97
2023-09-09,0,0,0,889.49,1311.64
2023-09-10,0,0,0,889.49,1311.64
2023-09-11,0,0,0,891.2,1308.2
2023-09-12,0,0,0,888.14,1304.76
2023-09-13,0,0,0,886.51,1306.73
2023-09-14,0,0,0,885.88,1305.26
2023-09-15,0,0,0,884.12,1306.73
2023-09-16,0,0,0,884.12,1306.73
2023-09-17,0,0,0,884.12,1306.73
2023-09-18,0,0,0,882.81,1303.29
2023-09-19,0,0,0,882.17,1302.8
2023-09-20,0,0,0,881.92,1304.27
2023-09-21,0,0,0,890.13,1317.05
2023-09-22,0,0,0,884.75,1311.64
2023-09-23,0,0,0,884.75,1311.64
2023-09-24,0,0,0,884.75,1311.64
2023-09-25,0,0,0,884.59,1315.57
2023-09-26,0,0,0,890.84,1326.38
2023-09-27,0,0,0,892.94,1338.17
2023-09-28,0,0,0,892.94,1338.17
2023-09-29,0,0,0,892.94,1338.17
2023-09-30,0,0,0,892.94,1338.17
2023-10-01,0,0,0,892.94,1338.17
2023-10-02,0,0,0,892.94,1338.17
2023-10-03,0,0,0,892.94,1338.17
